,id,tag,name,race,period_id,player_id,rating,rating_vp,rating_vt,rating_vz,position,position_vp,position_vt,position_vz,aligulac_rank
0,5878,Clem,Clément Desplanches,T,294,5878,2.2863100150712072,2.2771116124617365,2.1062029144214653,2.47561551833042,1,1,4,1,1.0
0,485,Serral,Joona Sotala,Z,294,485,2.273713905833976,2.2655659678727686,2.4062649922085155,2.1493107574206443,2,2,1,3,2.0
0,5414,Reynor,Riccardo Romiti,Z,294,5414,2.1332092070752133,2.1281455295867553,2.1689897693272124,2.1024923223116727,3,3,2,5,3.0
0,49,Maru,조성주,T,294,49,2.1047815511891206,2.0668889884477837,2.0634662489985742,2.1839894161210043,4,4,7,2,4.0
0,1665,Cure,김도욱,T,294,1665,2.019391324480494,1.9656653356984286,2.004446954008222,2.088061683734832,5,7,12,7,5.0
0,177,Trap,조성호,P,294,177,2.019224357340777,1.976057360848538,2.0142805840020053,2.0673351271717872,6,6,11,8,6.0
0,48,INnoVation,이신형,T,294,48,2.01286041744746,1.905367756675667,1.9864519253542383,2.1467615703124747,7,13,13,4,7.0
0,309,Stats,김대엽,P,294,309,1.99557556513924,1.9416142217416998,2.0406785444490274,2.004433929226993,8,10,9,10,8.0
0,1793,Solar,강민수,Z,294,1793,1.9915820442905623,1.9546438481752486,2.0234402999985335,1.996661984697905,9,8,10,11,9.0
0,76,Dark,박령우,Z,294,76,1.974125740992733,2.0008153889462887,2.1127286319968586,1.8088332020350524,10,5,3,22,10.0
0,1662,Rogue,이병렬,Z,294,1662,1.969161645627336,1.921244511777351,2.061401695402121,1.9248387297025362,11,11,8,13,11.0
0,258,HeRoMaRinE,Gabriel Segat,T,294,258,1.9473412772521153,1.9206030670035055,1.8204461842049822,2.100974580547858,12,12,19,6,12.0
0,47,ByuN,변현우,T,294,47,1.9463576214192688,1.9448350517620006,1.8294414733136535,2.0647963391821524,13,9,17,9,13.0
0,1658,Zest,주성욱,P,294,1658,1.9379391939181478,1.8484018099789947,2.0739486844435584,1.8914670873318902,14,15,5,19,14.0
0,5,PartinG,원이삭,P,294,5,1.883635778504684,1.6866776335002578,2.0707461140058347,1.8934835880079597,15,24,6,17,15.0
0,2170,ShoWTimE,Tobias Sieber,P,294,2170,1.8734947689891495,1.8931411036062884,1.7756515188868167,1.951691684474343,16,14,20,12,16.0
0,63,TY,전태양,T,294,63,1.8546118294624268,1.7162877381035297,1.949248191317679,1.8982995589660716,17,21,15,15,17.0
0,2053,Zoun,박한솔,P,294,2053,1.7958012978261488,1.6960350862856335,1.8745781147343568,1.8167906924584563,18,23,16,21,18.0
0,1517,Bunny,이재선,T,294,1517,1.7914522992110637,1.727916595812227,1.7371967889516227,1.9092435128693417,19,20,23,14,19.0
0,5847,Elazer,Mikołaj Ogonowski,Z,294,5847,1.7640409808891206,1.7926851826657746,1.6534111834819605,1.8460265765196266,20,16,27,20,20.0
0,109,Dream,조중혁,T,294,109,1.7620825548134833,1.752229487770414,1.6417358015497983,1.8922823751202376,21,18,29,18,21.0
0,110,sOs,김유진,P,294,110,1.7436141477600144,1.5409587796823265,1.9659591912529395,1.7239244723447773,22,30,14,26,22.0
0,19591,MaxPax,,P,294,19591,1.734062620748638,1.734581480668551,1.6892693585554355,1.7783370230219275,23,19,25,23,23.0
0,4049,Lambo,Julian Brosig,Z,294,4049,1.7006868879616304,1.7735927987943125,1.6857089245992343,1.6427589404913443,24,17,26,32,24.0
0,117,RagnaroK,신희범,Z,294,117,1.6697463509689765,1.7090369429736576,1.7373346311617783,1.5628674787714936,25,22,22,36,25.0
0,2566,Armani,박진혁,Z,294,2566,1.6433114271095361,1.5795414293246979,1.6964544265318193,1.6539384254720912,27,29,24,31,26.0
0,4495,Neeb,Alex Sunderhaft,P,294,4495,1.64319602944889,1.5124075699804052,1.7385249998660608,1.6786555185002043,28,33,21,27,27.0
0,4134,Astrea,Max Angel,P,294,4134,1.6278691606588769,1.6148291704898194,1.5912819356628103,1.677496375824001,30,28,30,28,28.0
