,group_stage,ro8,ro4,second,first
trap,8850,8567,5246,3259,4078
zest,12225,8465,4692,2466,2152
dream,22659,5558,1486,257,40
zoun,13099,8450,4468,2169,1814
innovation,10427,8648,4929,2892,3104
armani,21844,5993,1748,340,75
rogue,12674,8514,4699,2392,1721
solar,13770,8273,4538,2053,1366
hurricane,24908,4139,833,113,7
sos,16276,7968,3611,1391,754
bunny,20300,6943,2139,504,114
cure,10796,8439,5111,2801,2853
ty,13062,8480,4558,2241,1659
maru,7161,7787,4901,3597,6554
dark,9542,8366,5311,3164,3617
dongraegu,22407,5410,1730,361,92
