,ro24_groups,ro16_groups,ro8,ro4,second,first
serral,0.0,0.2586,0.27113333333333334,0.17956666666666668,0.12176666666666666,0.16893333333333332
clem,0.0,0.2111,0.2391,0.1649,0.12223333333333333,0.26266666666666666
reynor,0.0,0.32193333333333335,0.28296666666666664,0.17133333333333334,0.10456666666666667,0.1192
maru,0.0,0.3462,0.28186666666666665,0.16703333333333334,0.1022,0.1027
dark,0.43273333333333336,0.3065,0.14873333333333333,0.07086666666666666,0.026533333333333332,0.014633333333333333
solar,0.3822333333333333,0.3066,0.17113333333333333,0.08243333333333333,0.03596666666666667,0.021633333333333334
cure,0.3389,0.30706666666666665,0.18176666666666666,0.0953,0.04416666666666667,0.0328
heromarine,0.4260333333333333,0.3214,0.14953333333333332,0.06663333333333334,0.023933333333333334,0.012466666666666666
trap,0.29656666666666665,0.29286666666666666,0.19853333333333334,0.10686666666666667,0.059033333333333333,0.04613333333333333
innovation,0.25256666666666666,0.28053333333333336,0.2092,0.12146666666666667,0.06993333333333333,0.0663
stats,0.31766666666666665,0.3051333333333333,0.19173333333333334,0.10313333333333333,0.047733333333333336,0.0346
rogue,0.40113333333333334,0.30473333333333336,0.162,0.0786,0.03476666666666667,0.018766666666666668
zest,0.3605333333333333,0.3051333333333333,0.17416666666666666,0.09066666666666667,0.0404,0.0291
byun,0.3653,0.3186,0.1744,0.08363333333333334,0.037766666666666664,0.0203
showtime,0.369,0.3159666666666667,0.1743,0.08813333333333333,0.035833333333333335,0.016766666666666666
parting,0.45943333333333336,0.30456666666666665,0.13756666666666667,0.0619,0.023566666666666666,0.012966666666666666
ty,0.5155333333333333,0.31053333333333333,0.11233333333333333,0.043533333333333334,0.013566666666666666,0.0045
bunny,0.6266,0.2858,0.06836666666666667,0.015933333333333334,0.0028,0.0005
zoun,0.46836666666666665,0.327,0.13163333333333332,0.0516,0.016666666666666666,0.004733333333333333
dream,0.7333666666666666,0.2277,0.0315,0.006933333333333333,0.00036666666666666667,0.00013333333333333334
elazer,0.7111666666666666,0.2388,0.04106666666666667,0.0077666666666666665,0.0011,0.0001
sos,0.45453333333333334,0.31783333333333336,0.13766666666666666,0.0614,0.020533333333333334,0.008033333333333333
maxpax,0.5656666666666667,0.30483333333333335,0.0945,0.028033333333333334,0.0059,0.0010666666666666667
lambo,0.6942333333333334,0.24643333333333334,0.0477,0.009966666666666667,0.0015333333333333334,0.00013333333333333334
neeb,0.6864333333333333,0.24796666666666667,0.051533333333333334,0.012,0.0019,0.00016666666666666666
ragnarok,0.6064,0.2922666666666667,0.07593333333333334,0.020733333333333333,0.0041333333333333335,0.0005333333333333334
armani,0.7986333333333333,0.17373333333333332,0.0237,0.0033666666666666667,0.00046666666666666666,0.0001
astrea,0.7369666666666667,0.22016666666666668,0.03593333333333333,0.006266666666666667,0.0006333333333333333,3.3333333333333335e-05
