,group_stage,ro12,ro8,fourth,third,second,first
serral,5262,4185,7387,1595,3187,3231,4789
clem,4257,3373,6853,1270,3226,3437,7255
reynor,7601,5017,7034,1651,2594,2639,3100
maru,8169,5183,7112,1780,2393,2369,2608
dark,14931,5482,5148,1405,996,1008,518
solar,13325,5736,5802,1517,1227,1247,735
cure,12194,5501,6187,1588,1513,1437,1194
heromarine,15453,5758,4993,1246,860,853,385
trap,10533,5512,6639,1685,1795,1803,1589
innovation,8863,5170,7180,1771,2206,2205,2292
stats,11309,5650,6487,1689,1719,1590,1164
rogue,13766,5577,5612,1507,1226,1195,684
zest,12280,5694,6001,1616,1489,1463,1021
byun,13225,5832,5841,1533,1161,1202,777
showtime,13364,5733,5779,1564,1244,1234,620
parting,15246,5670,4990,1309,873,916,478
ty,17766,5449,3995,1126,487,472,218
bunny,22707,4340,1973,381,90,81,17
zoun,16912,5622,4312,1234,643,601,212
dream,25594,2875,974,152,25,20,0
elazer,25656,2864,949,152,28,20,2
sos,16138,5701,4661,1276,745,714,283
maxpax,20635,4988,2785,694,212,204,53
lambo,24834,3088,1306,259,61,59,6
