,group_stage,ro16,ro8,fourth,third,second,first
parting,12584,6119,5917,1674,1258,1252,772
stats,9389,5749,7112,1848,1990,1940,1617
trap,8983,5668,7283,1869,2025,2126,1683
zest,11557,5905,6298,1642,1510,1507,1123
showtime,10740,5799,6437,1732,1729,1749,1437
astrea,26162,2664,774,106,15,9,1
neeb,19545,5495,3210,749,235,233,48
cure,5979,4670,7624,1648,2769,2879,4136
innovation,10453,5572,6900,1773,1759,1862,1353
maru,11221,5793,6617,1754,1627,1498,1126
ty,13987,6021,5506,1523,1041,982,532
clem,7133,5007,7324,1748,2568,2612,3236
heromarine,14916,6116,5170,1441,796,798,354
special,28234,1275,252,35,2,0,0
time,25673,2832,970,162,18,15,2
bunny,23188,4220,1736,377,65,62,9
byun,11968,5855,6336,1705,1443,1369,943
dream,22257,4502,2170,434,102,98,18
dark,13004,6053,5798,1633,1246,1143,663
rogue,18996,5349,3539,897,342,323,85
reynor,5604,4623,7556,1650,2968,3015,4251
serral,4003,3753,7475,1563,3316,3487,6089
solar,13996,5987,5559,1554,1016,921,493
ragnarok,21409,4973,2437,483,160,120,29
