,group_stage,ro16,ro8,fourth,third,second,first
parting,0.41946666666666665,0.20396666666666666,0.19723333333333334,0.0558,0.041933333333333336,0.04173333333333333,0.025733333333333334
stats,0.31296666666666667,0.19163333333333332,0.23706666666666668,0.0616,0.06633333333333333,0.06466666666666666,0.0539
trap,0.29943333333333333,0.18893333333333334,0.24276666666666666,0.0623,0.0675,0.07086666666666666,0.0561
zest,0.3852333333333333,0.19683333333333333,0.20993333333333333,0.054733333333333335,0.050333333333333334,0.05023333333333333,0.03743333333333333
showtime,0.358,0.1933,0.21456666666666666,0.05773333333333333,0.057633333333333335,0.0583,0.0479
astrea,0.8720666666666667,0.0888,0.0258,0.003533333333333333,0.0005,0.0003,3.3333333333333335e-05
neeb,0.6515,0.18316666666666667,0.107,0.024966666666666668,0.007833333333333333,0.0077666666666666665,0.0016
cure,0.1993,0.15566666666666668,0.2541333333333333,0.054933333333333334,0.0923,0.09596666666666667,0.13786666666666667
innovation,0.3484333333333333,0.18573333333333333,0.23,0.0591,0.058633333333333336,0.062066666666666666,0.0451
maru,0.37403333333333333,0.1931,0.22056666666666666,0.05846666666666667,0.054233333333333335,0.049933333333333337,0.037533333333333335
ty,0.46623333333333333,0.2007,0.18353333333333333,0.05076666666666667,0.0347,0.032733333333333337,0.017733333333333334
clem,0.23776666666666665,0.1669,0.24413333333333334,0.05826666666666667,0.0856,0.08706666666666667,0.10786666666666667
heromarine,0.4972,0.20386666666666667,0.17233333333333334,0.04803333333333333,0.026533333333333332,0.0266,0.0118
special,0.9411333333333334,0.0425,0.0084,0.0011666666666666668,6.666666666666667e-05,0.0,0.0
time,0.8557666666666667,0.0944,0.03233333333333333,0.0054,0.0006,0.0005,6.666666666666667e-05
bunny,0.7729333333333334,0.14066666666666666,0.057866666666666663,0.012566666666666667,0.0021666666666666666,0.0020666666666666667,0.0003
byun,0.3989333333333333,0.19516666666666665,0.2112,0.05683333333333333,0.0481,0.04563333333333333,0.031433333333333334
dream,0.7419,0.15006666666666665,0.07233333333333333,0.014466666666666666,0.0034,0.003266666666666667,0.0006
dark,0.43346666666666667,0.20176666666666668,0.19326666666666667,0.054433333333333334,0.04153333333333333,0.0381,0.0221
rogue,0.6332,0.1783,0.11796666666666666,0.0299,0.0114,0.010766666666666667,0.0028333333333333335
reynor,0.1868,0.1541,0.2518666666666667,0.055,0.09893333333333333,0.1005,0.1417
serral,0.13343333333333332,0.1251,0.24916666666666668,0.0521,0.11053333333333333,0.11623333333333333,0.20296666666666666
solar,0.46653333333333336,0.19956666666666667,0.1853,0.0518,0.03386666666666667,0.0307,0.016433333333333335
ragnarok,0.7136333333333333,0.16576666666666667,0.08123333333333334,0.0161,0.005333333333333333,0.004,0.0009666666666666667
