,player,group_stage,ro8,ro4,second,first,position,rating,race,first_rank,rating_rank,pos_diff,rank_diff
0,maru,7161,7787,4901,3597,6554,5,2.055743014150044,T,1.0,1.0,0.0,0
1,trap,8850,8567,5246,3259,4078,6,2.0378384961470384,P,2.0,2.0,0.0,0
2,dark,9542,8366,5311,3164,3617,8,1.997959851677206,Z,3.0,4.0,1.0,1
3,innovation,10427,8648,4929,2892,3104,12,1.9134012530386728,T,4.0,8.0,4.0,1
4,cure,10796,8439,5111,2801,2853,7,2.0312863202972378,T,5.0,3.0,-2.0,-1
5,zest,12225,8465,4692,2466,2152,9,1.9536721057778346,P,6.0,5.0,-1.0,-1
6,zoun,13099,8450,4468,2169,1814,20,1.7432196122314025,P,7.0,11.0,4.0,1
7,rogue,12674,8514,4699,2392,1721,15,1.8508746784862358,Z,8.0,9.0,1.0,1
8,ty,13062,8480,4558,2241,1659,10,1.9507375290906435,T,9.0,6.0,-3.0,-1
9,solar,13770,8273,4538,2053,1366,11,1.9346060951380246,Z,10.0,7.0,-3.0,-1
10,sos,16276,7968,3611,1391,754,27,1.6573179496303532,P,11.0,14.0,3.0,1
11,bunny,20300,6943,2139,504,114,21,1.7050153342180143,T,12.0,12.0,0.0,0
12,dongraegu,22407,5410,1730,361,92,33,1.5876175895507476,Z,13.0,15.0,2.0,1
13,armani,21844,5993,1748,340,75,24,1.6700736976458963,Z,14.0,13.0,-1.0,-1
14,dream,22659,5558,1486,257,40,18,1.8024766187891614,T,15.0,10.0,-5.0,-1
15,hurricane,24908,4139,833,113,7,55,1.2810616501486507,P,16.0,16.0,0.0,0
