,player,ro24_groups,ro16_groups,ro8,ro4,second,first,position,rating,race,first_rank,rating_rank,pos_diff,group_exit,group_exit_perc,ro24_groups_perc,ro16_groups_perc,ro8_perc,ro4_perc,second_perc,first_perc
0,astrea,22109,6605,1078,188,19,1,30,1.6278691606588769,P,28.0,28.0,0.0,1286,4.286666666666666,0.7369666666666667,0.22016666666666668,0.03593333333333333,0.006266666666666667,0.0006333333333333333,3.3333333333333335e-05
1,armani,23959,5212,711,101,14,3,27,1.6433114271095361,Z,26.5,26.0,-0.5,829,2.763333333333333,0.7986333333333333,0.17373333333333332,0.0237,0.0033666666666666667,0.00046666666666666666,0.0001
2,elazer,21335,7164,1232,233,33,3,20,1.7640409808891206,Z,26.5,20.0,-6.5,1501,5.003333333333333,0.7111666666666666,0.2388,0.04106666666666667,0.0077666666666666665,0.0011,0.0001
3,lambo,20827,7393,1431,299,46,4,24,1.7006868879616304,Z,24.5,24.0,-0.5,1780,5.933333333333334,0.6942333333333334,0.24643333333333334,0.0477,0.009966666666666667,0.0015333333333333334,0.00013333333333333334
4,dream,22001,6831,945,208,11,4,21,1.7620825548134833,T,24.5,21.0,-3.5,1168,3.8933333333333335,0.7333666666666666,0.2277,0.0315,0.006933333333333333,0.00036666666666666667,0.00013333333333333334
5,neeb,20593,7439,1546,360,57,5,28,1.64319602944889,P,23.0,27.0,4.0,1968,6.5600000000000005,0.6864333333333333,0.24796666666666667,0.051533333333333334,0.012,0.0019,0.00016666666666666666
6,bunny,18798,8574,2051,478,84,15,19,1.7914522992110637,T,22.0,19.0,-3.0,2628,8.76,0.6266,0.2858,0.06836666666666667,0.015933333333333334,0.0028,0.0005
7,ragnarok,18192,8768,2278,622,124,16,25,1.6697463509689765,Z,21.0,25.0,4.0,3040,10.133333333333333,0.6064,0.2922666666666667,0.07593333333333334,0.020733333333333333,0.0041333333333333335,0.0005333333333333334
8,maxpax,16970,9145,2835,841,177,32,23,1.734062620748638,P,20.0,23.0,3.0,3885,12.950000000000001,0.5656666666666667,0.30483333333333335,0.0945,0.028033333333333334,0.0059,0.0010666666666666667
9,ty,15466,9316,3370,1306,407,135,17,1.8546118294624268,T,19.0,17.0,-2.0,5218,17.393333333333334,0.5155333333333333,0.31053333333333333,0.11233333333333333,0.043533333333333334,0.013566666666666666,0.0045
10,zoun,14051,9810,3949,1548,500,142,18,1.7958012978261488,P,18.0,18.0,0.0,6139,20.463333333333335,0.46836666666666665,0.327,0.13163333333333332,0.0516,0.016666666666666666,0.004733333333333333
