,player,group_stage,ro16,ro8,fourth,third,second,first,ro4,position,rating,race,first_rank,rating_rank,pos_diff,rank_diff
0,serral,4317,3753,7475,1563,3316,3487,6089,4879,1,2.228314814565014,Z,1.0,1.0,0.0,0
1,reynor,5937,4623,7556,1650,2968,3015,4251,4618,2,2.1623484667607475,Z,2.0,2.0,0.0,0
2,cure,6274,4670,7624,1648,2769,2879,4136,4417,4,2.0490886864088926,T,3.0,4.0,1.0,1
3,clem,7505,5007,7324,1748,2568,2612,3236,4316,5,2.045795527182009,T,4.0,5.0,1.0,1
4,trap,9346,5668,7283,1869,2025,2126,1683,3894,3,2.0661480696538974,P,5.0,3.0,-2.0,-1
5,stats,9744,5749,7112,1848,1990,1940,1617,3838,6,1.9776746123264057,P,6.0,6.0,0.0,0
6,showtime,11117,5799,6437,1732,1729,1749,1437,3461,13,1.8627453224637045,P,7.0,13.0,6.0,1
7,innovation,10781,5572,6900,1773,1759,1862,1353,3532,9,1.9501231253641245,T,8.0,9.0,1.0,1
8,maru,11585,5793,6617,1754,1627,1498,1126,3381,10,1.94590142534529,T,9.0,10.0,1.0,1
9,zest,12015,5905,6298,1642,1510,1507,1123,3152,14,1.861651080146479,P,10.0,14.0,4.0,1
10,byun,12349,5855,6336,1705,1443,1369,943,3148,8,1.9613896433653883,T,11.0,8.0,-3.0,-1
11,parting,13008,6119,5917,1674,1258,1252,772,2932,18,1.793196375695618,P,12.0,18.0,6.0,1
12,dark,13464,6053,5798,1633,1246,1143,663,2879,7,1.9716194112554946,Z,13.0,7.0,-6.0,-1
13,ty,14395,6021,5506,1523,1041,982,532,2564,12,1.8778239487484725,T,14.0,12.0,-2.0,-1
14,solar,14470,5987,5559,1554,1016,921,493,2570,11,1.9220043301137333,Z,15.0,11.0,-4.0,-1
15,heromarine,15325,6116,5170,1441,796,798,354,2237,15,1.85161083123527,T,16.0,15.0,-1.0,-1
16,rogue,19465,5349,3539,897,342,323,85,1239,17,1.809433295079079,Z,17.0,17.0,0.0,0
17,neeb,20030,5495,3210,749,235,233,48,984,27,1.640153739588852,P,18.0,22.0,4.0,1
18,ragnarok,21798,4973,2437,483,160,120,29,643,26,1.652847118388462,Z,19.0,21.0,2.0,1
19,dream,22676,4502,2170,434,102,98,18,536,16,1.8306078224988898,T,20.0,16.0,-4.0,-1
20,bunny,23531,4220,1736,377,65,62,9,442,20,1.688611157658849,T,21.0,19.0,-2.0,-1
21,time,26001,2832,970,162,18,15,2,180,23,1.6757217537072862,T,22.0,20.0,-2.0,-1
22,astrea,26431,2664,774,106,15,9,1,121,33,1.5575246247292691,P,23.0,23.0,0.0,0
23,special,28436,1275,252,35,2,0,0,37,36,1.4910306048354283,T,24.0,24.0,0.0,0
